Name,Url,Authority,Started On,Finished On,License Number
R Fundamental for Data Science,https://academy.dqlab.id/Certificate_check/result/DQLABINTR1KWRKOT#mycertificate,DQLab,Aug 2020,,DQLABINTR1KWRKOT
Data Visualization in Data Science using R,https://academy.dqlab.id/Certificate_check/result/DQLABDTVISQKKGMD#mycertificate,DQLab,Jul 2022,,DQLABDTVISQKKGMD
Data Preparation in Data Science using R,https://academy.dqlab.id/Certificate_check/result/DQLABDTWR1RIBERT#mycertificate,DQLab,Sep 2021,,DQLABDTWR1RIBERT
Statistics using R for Data Science,https://academy.dqlab.id/Certificate_check/result/DQLABINTS1VPMATB#mycertificate,DQLab,Aug 2021,,DQLABINTS1VPMATB
Introduction to Data Science with R,https://academy.dqlab.id/Certificate_check/result/DQLABBGINRMOSFJO#mycertificate,DQLab,Aug 2020,,DQLABBGINRMOSFJO
Introduction to Data Science with Python,https://academy.dqlab.id/Certificate_check/result/DQLABINTP1UHIAPR#mycertificate,DQLab,Sep 2022,,DQLABINTP1UHIAPR
Data Wrangling Python,https://academy.dqlab.id/Certificate_check/result/DQLABDTWP1NLJPPD#mycertificate,DQLab,Sep 2022,,DQLABDTWP1NLJPPD
Fundamental Data Visualization using R,https://academy.dqlab.id/Certificate_check/result/DQLABINTR1FTFAAG#mycertificate,DQLab,Oct 2022,,DQLABINTR1FTFAAG
Metaverse Engineer,https://digitalent.kominfo.go.id/cek-sertifikat?registrasi=1955651840-387,Digital Talent Scholarship,Apr 2023,,1955651840-387/FGA/BLSDM.Kominfo/2023
Artificial Intelligence for Junior Developer,https://digitalent.kominfo.go.id/cek-sertifikat,Digital Talent Scholarship,Sep 2023,,19566671060-61
Consumer Understanding Certificate - Nestlé YEP FoodTech Training,https://mycourse.app/3u3WUrEDKgaXzkH5A,Nestlé,Jul 2024,,6604021c79e9c5ca21055315
Project Management Certificate - Nestlé YEP FoodTech Training,https://mycourse.app/Qf5V8xv26FiAzdRL9,Nestlé,Jul 2024,,6604020033b6bc68830ece25
Food Product Development Certificate - Nestlé YEP FoodTech Training,https://mycourse.app/nHsYT6579VLSSGcW7,Nestlé,Jul 2024,,6603fe3a35119f6c3e0d98de
Design of Experiments Certificate - Nestlé YEP FoodTech Training,https://mycourse.app/sZS9TjBEBD7HMYpw6,Nestlé,Jul 2024,,6604072b845a166fb002f006
Basic Public Speaking ,https://drive.google.com/file/d/1NuhDSCSUGNv8G9Pk4i0yeq5y3WRbjHQF/view?usp=sharing,Dialogika,Aug 2023,,
"""Idea Generation"" Certificate",https://mycourse.app/vj8k87onJuehoMcm7,Nestlé,Aug 2024,,63edef33c7d2ac33a3024c62
"""Solution Creation"" Certificate",https://mycourse.app/hME8jrZDfp63X1dA6,Nestlé,Aug 2024,,65cf1ab526a1c435000a11d3
"""Successful Entrepreneur"" Certificate",https://mycourse.app/piFfExtcCdqVbhp77,Nestlé,Aug 2024,,65aa80aa3049700d9c0d3d72
Introduction to machine learning concepts,https://learn.microsoft.com/api/achievements/share/en-us/IqbalIzzulhaq-7954/7K6H3CUZ?sharingId=AA75A9263924243B,Microsoft Learning,Jun 2025,,
Get started with Azure AI services,https://learn.microsoft.com/api/achievements/share/en-us/IqbalIzzulhaq-7954/W2DCB68N?sharingId=AA75A9263924243B,Microsoft Learning,Jun 2025,,
Introduction to generative AI concepts,https://learn.microsoft.com/api/achievements/share/en-us/IqbalIzzulhaq-7954/VJ3NAKXM?sharingId=AA75A9263924243B,Microsoft Learning,Jun 2025,,
The Complete Agentic AI Engineering Course,https://ude.my/UC-0bac03ce-c247-4102-b92a-74fab96ca0fe,Udemy,Jul 2025,,UC-0bac03ce-c247-4102-b92a-74fab96ca0fe
Artificial Intelligence Fundamentals,https://www.credly.com/badges/727eb3d7-8c1d-4f63-80b4-edb20ca832ee/public_url,IBM,Aug 2025,,
What Is Generative AI?,https://www.linkedin.com/learning/certificates/87061798ef64e1217f2981f9b946cb67aa275cd7946da283a73231efe2031aae,LinkedIn,Aug 2025,,
Machine Learning Operations (MLOps) with Vertex AI: Model Evaluation,https://www.skills.google/public_profiles/e4d99ab4-05cf-4053-ade7-cd77f8e1ecc1/badges/20598469?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Dec 2025,,20598469
Machine Learning Operations (MLOps) for Generative AI,https://www.skills.google/public_profiles/e4d99ab4-05cf-4053-ade7-cd77f8e1ecc1/badges/17135131?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Jul 2025,,17135131
Gen AI Agents: Transform Your Organization,https://www.skills.google/public_profiles/e4d99ab4-05cf-4053-ade7-cd77f8e1ecc1/badges/17130319?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Jul 2025,,17130319
Gen AI Apps: Transform Your Work,https://www.skills.google/public_profiles/e4d99ab4-05cf-4053-ade7-cd77f8e1ecc1/badges/17129587?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Jul 2025,,17129587
Responsible AI for Developers: Fairness & Bias,https://www.skills.google/public_profiles/e4d99ab4-05cf-4053-ade7-cd77f8e1ecc1/badges/20618323?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Dec 2025,,20618323
"AI Engineer Core Track: LLM Engineering, RAG, QLoRA, Agents",ude.my/UC-bab4e4c3-5eee-4003-b4a3-6cdee24c4881,Udemy,Nov 2025,,UC-bab4e4c3-5eee-4003-b4a3-6cdee24c4881
AI Engineer MLOps Track: Deploy Gen AI & Agentic AI at Scale,https://www.udemy.com/certificate/UC-fbb63285-1cbd-4aaa-a6b3-3cf5e77ed8e3/,Udemy,Dec 2025,,UC-fbb63285-1cbd-4aaa-a6b3-3cf5e77ed8e3
Data Science & Machine Learning,https://drive.google.com/open?id=1Yie9JBHgJW-GtT3tiqN7rqomwRVEwRQ8&usp=drive_fs,Purwadhika Digital Technology School,Jun 2025,,202410007379
Generative AI with Large Language Models,https://coursera.org/share/8f7f2759c003ca4a755c74b7c85feff3,Amazon Web Services (AWS),Jan 2026,,56TNN6IUU883
Tools for Data Science,https://www.coursera.org/account/accomplishments/records/O46IVC8SUCD6,IBM,Jan 2026,,O46IVC8SUCD6
Data Science Methodology,https://www.coursera.org/account/accomplishments/records/3OR9TFBT5I1I,IBM,Jan 2026,,3OR9TFBT5I1I
"Python for Data Science, AI & Development",https://www.coursera.org/account/accomplishments/records/JSKYQBK82UWZ,IBM,Jan 2026,,JSKYQBK82UWZ
Python Project for Data Science,https://www.coursera.org/account/accomplishments/records/SOUP112W5LRV,IBM,Jan 2026,,SOUP112W5LRV
Databases and SQL for Data Science with Python,https://www.coursera.org/account/accomplishments/records/SSRDL58C2CD7,IBM,Jan 2026,,SSRDL58C2CD7
Data Analysis with Python,https://www.coursera.org/account/accomplishments/records/PAOYDTZO8GTP,IBM,Jan 2026,,PAOYDTZO8GTP
Data Visualization with Python,https://www.coursera.org/account/accomplishments/records/LCKSVTMUEOPS,IBM,Jan 2026,,LCKSVTMUEOPS
